ID,INTERVIEW_DATE_DD,INTERVIEW_DATE_MM,INTERVIEW_DATE_YYYY,PSU,DISTRICT,LOCATION_TYPE,SUPERVISOR,INTERVIEWER,GPS_LATITUDE,GPS_LONGITUDE,GPS_ACCURACY,INTERVIEWER_VISITS,CUSTOMER_NUMBER,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14_YEARS,Q14_MONTHS,Q15,Q16_INVENTORY,Q16_SALE,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q21,Q21_1A,Q21_1B,Q21_1C,Q22,Q22_1,Q22_2,Q22_3,Q23_1,Q23_2,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q26,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29_1,Q29_2,Q29_3,Q29_4,Q30,Q31,Q32_1,Q32_1_N,Q32_2,Q32_2_N,Q32_3,Q32_3_N,Q32_4,Q32_4_N,Q32_5,Q32_5_N,Q32_6,Q32_6_N,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q34,Q35,Q36,Q37,Q38,Q39,Q39_PERSONAL_AMOUNT,Q39_BUSINESS_AMOUNT,Q40,Q41_FEATURE_PHONE,Q41_SMART_PHONE,Q41_NO_PHONE,Q42,Q43_FEATURE_PHONE,Q43_SMARTPHONE,Q44_FEATURE_PHONE,Q44_SMARTPHONE,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q46_1,Q46_2,Q46_INTERNET,Q46_WIFI,Q47_1,Q47_2,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_KM,Q55_TIME,Q55_COST,Q56,Q57,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q59_1,Q59_2,Q59_3,Q60_1,Q60_2,Q60_3,Q61,Q62,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q63_7,Q63_8,Q63_9,Q63_10,Q63_11,Q63_98,Q63_99,Q63,Q64,Q65,Q66_1,Q66_2,Q66_3,Q67,Q67_PERCENT,Q68,Q69,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q70_6,Q70_7,Q70_98,Q70_99,Q70,Q71,Q72,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q74,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q76,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q79_7,Q80,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q82_1,Q82_2,Q82_3,Q82_4,Q82_5,Q82_6,DL14,DL15,DL16,DL17,DL18,DL19,DL20,DL21,DL22,DL23
563,11,1,2018,113,Madaripur,Rural,Md. Sirajul Islam,Abdul Mannan,,,,Visit 1,18,Yes,20,Male,Single/ never married,Yes,Secondary education not completed (class 6-9),8,2,Work in your own activity and you are your own boss (Self-employment)/ Business,Work for someone else (Wage employment),,,,,,,7,Cigarette,Chips,Soft drinks/ Beverage,Bakery biscuits,Tea/Coffee,Yes,5,,Student,120000,100000,Access to finance,Energy connection,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,150,100,Finance,Marketing,,,,,Finance,Marketing,,,,,"Yes, sometimes",21-30%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Keep accounts for credit sale,No,Company distributor,20,Directly from the company/manufacturer,2,,,,,,,,,Everyday,Once a week,,,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan",Rarely,11-20%,Yes,From a village Level savings Group,,35000,Yes,1,1,6,Yes,0,1,,100,Made/receive calls,Send/Receive SMS Text messages,Browse the internet,Use Facebook or other social networking site,Use bKash/Rocket and other  mobile money transactions,,,Weekly internet use,,250,,Do not face any problems,,No,,,,,,I do not have money/I do not have money to make any transactions with such an account,10,30,40,Yes,Yes,bKash,Rocket (DBBL),SureCash,,,Agents can be found everywhere,Transaction is possible at any time,,No Response,,,Yes,Yesterday,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Agent system downtime,No,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is possible to pay remote payments through this,It helps the store's marketing or attracts more customers,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Two,Yes,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
564,11,1,2018,113,Madaripur,Rural,Md. Sirajul Islam,Abdul Mannan,,,,Visit 1,15,Yes,42,Male,Married,Yes,Primary education completed,7,2,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Toilet soap,Cream/Snow,Packet biscuit,Soft drinks/ Beverage,Air-time/Top-up,Yes,9,,Full time employee,100000,110000,Access to finance,Energy connection,,,,Single proprietorship,Rent,No,Yes,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,250,150,Finance,Marketing,,,,,Finance,Marketing,,,,,Rarely,1-10%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Keep accounts for credit sale,No,Company distributor,25,Directly from the company/manufacturer,3,Wholesaler in wholesale market,2,,,,,,,Everyday,Once a week,Once in every 2 weeks,,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan",Rarely,1-10%,Yes,From a bank,,400000,Yes,3,2,2,Yes,1,0,100,,Made/receive calls,Send/Receive SMS Text messages,Use bKash/Rocket and other  mobile money transactions,,,,,Do not use internet,,,,Do not face any problems,,Yes,One account for both- personal and business,In the past 30 days,Over the counter at a bank branch,Make transactions myself,I wanted to start saving money with a bank account,,10,40,30,Yes,Yes,bKash,Rocket (DBBL),,,,Money canbe sent fast,Money can be sent safely,,No Response,,,Yes,Yesterday,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Agent system downtime,No,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is possible to pay remote payments through this,It helps the store's marketing or attracts more customers,,,,,,Yes,No,,,,,,,,Don't feel the necessity,,,,,,,No,,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband major/ wife minor,One,No,No,Two,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
565,11,1,2018,113,Madaripur,Rural,Md. Sirajul Islam,Abdul Mannan,,,,Visit 1,9,Yes,50,Male,Married,No,No formal education,7,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Flour,Edible oil,Cigarette,Packet biscuit,Bakery biscuits,Yes,22,,Farm Labourer,150000,120000,Access to finance,Energy connection,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,100,40,Finance,Marketing,,,,,Finance,Marketing,,,,,"Yes, sometimes",31-40%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Keep accounts for credit sale,No,Company distributor,20,Directly from the company/manufacturer,4,,,Large store in nearby haat/ Large store in same/nearby area,5,,,,,Everyday,Once a week,,Twice a  week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",31-40%,Yes,From a private moneylender,,250000,Yes,2,0,5,Yes,1,0,20,,Made/receive calls,Send/Receive SMS Text messages,,,,,,Do not use internet,,,,Phone runs out of battery,Ran out of balance (airtime) without using,No,,,,,,"I do not need one, I do not make any transactions",10,30,40,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is possible to pay remote payments through this,It helps the store's marketing or attracts more customers,,,,,,No,,,,,,,,,,,,,,,,Yes,Micro-credit group,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,None,No members 6-to-12,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
566,11,1,2018,114,Gopalganj,Rural,Md. Sirajul Islam,Shamim Ahsan,,,,Visit 1,7,Yes,45,Male,Married,Yes,Primary education completed,4,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Poultry,,,,,,,7,Rice,Edible oil,Cigarette,Bakery biscuits,Kerosene,Yes,10,,Another micro-merchant business,100000,850000,Access to finance,Poor physical infrastructure,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,60,25,Marketing,Finding and advise on equipment and technology,,,,,Marketing,Finding and advise on equipment and technology,,,,,"Yes, regularly",41-50%,Keep it at home/room,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,Strongly agree,Agree somewhat,Disagree somewhat,Strongly agree,Keep accounts for credit sale,Yes,Company distributor,4,Directly from the company/manufacturer,1,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Twice a  week,3 times a week,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan",Rarely,11-20%,Yes,From a village Level savings Group,,50000,Yes,3,1,0,Yes,1,0,150,,Made/receive calls,Send/Receive SMS Text messages,Browse the internet,Use Facebook or other social networking site,Use bKash/Rocket and other  mobile money transactions,,,Do not use internet,,,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 7 days,Over the counter at a bank branch,Make transactions myself,I wanted a safe place to store my money,,16,60,35,Yes,Yes,Rocket (DBBL),,,,,Money canbe sent fast,Money can be withdrawn in lesser time,Cost of sending money is less,Money can be sent to wrong number,Network Problem,Often agentsrun out of cash,No,In the past 7 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Service system downtime,No,,,,,,,,,,,,,,,,,,,,No,No trust on this service,,,,,,,No,It is convenient,It is safer than cash money,It is possible to pay remote payments through this,,,,,Yes,No,,,,,,,,Don't feel the necessity,,,,,,,Yes,Co-operative,,,,,,,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Husband Sole responsibility,Husband major/ wife minor,Husband Sole responsibility,None,No members 6-to-12,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
567,11,1,2018,114,Gopalganj,Rural,Md. Sirajul Islam,Shamim Ahsan,,,,Visit 1,7,Yes,38,Male,Married,Yes,Secondary education completed,5,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Rice,Edible oil,Chips,Bakery biscuits,Onion/ Ginger/ Garlic,Yes,2,,Another micro-merchant business,100000,75000,Access to finance,Poor physical infrastructure,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,80,35,Finance,Marketing,Finding and advise on equipment and technology,,,,Finance,Marketing,Technical training (e.g. on the job training),,,,Rarely,1-10%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Keep accounts for credit sale,Yes,Company distributor,5,Directly from the company/manufacturer,4,,,Large store in nearby haat/ Large store in same/nearby area,2,,,,,3 times a week,Twice a  week,,Once a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",11-20%,Yes,From a village Level savings Group,,500000,Yes,4,0,1,Yes,1,0,200,,Made/receive calls,Send/Receive SMS Text messages,Use bKash/Rocket and other  mobile money transactions,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 30 days,Over the counter at a bank branch,Make transactions myself,Most of my friends/family members are already using them/I saw other people using them and wanted to try it myself,,16,60,35,Yes,Yes,bKash,,,,,Money canbe sent fast,Money remains secured,,High service charge,Network Problem,Often agentsrun out of cash,No,Yesterday,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Service system downtime,No,,,,,,,,,,,,,,,,,,,,No,I do not trust system,,,,,,,No,It is convenient,It is safer than cash money,,,,,,No,,,,,,,,,,,,,,,,Yes,Co-operative,,,,,,,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Husband Sole responsibility,Husband major/ wife minor,Husband Sole responsibility,One,No,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
568,11,1,2018,114,Gopalganj,Rural,Md. Sirajul Islam,Shamim Ahsan,,,,Visit 1,9,Yes,29,Male,Married,Yes,Secondary education completed,4,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Edible oil,Detergent powder,Soft drinks/ Beverage,Bakery biscuits,Kerosene,Yes,1,,Student,120000,85000,Access to finance,Energy connection,Poor physical infrastructure,"Insufficient knowledge, information, business experience",,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,65,20,Marketing,Technical training (e.g. on the job training),,,,,Finance,Marketing,Technical training (e.g. on the job training),Lobbying and protection of interests,,,"Yes, sometimes",11-20%,Keep it at home/room,Reinvest in Business,,,,,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Keep accounts for credit sale,Yes,Company distributor,5,Directly from the company/manufacturer,2,,,Large store in nearby haat/ Large store in same/nearby area,2,,,,,Twice a  week,Twice a  week,,Once a month,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan",Rarely,1-10%,No,,,,No,2,0,2,Yes,1,0,120,,Made/receive calls,Send/Receive SMS Text messages,,,,,,Do not use internet,,,,Phone runs out of battery,Ran out of balance (airtime) without using,No,,,,,,"I do not need one, I do not make any transactions",16,60,35,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No trust on this service,I do not trust system,,,,,,No,It is convenient,It is safer than cash money,It is possible to pay remote payments through this,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,None,No members 6-to-12,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,Yes
569,11,1,2018,114,Gopalganj,Rural,Md. Sirajul Islam,Shamim Ahsan,,,,Visit 1,7,Yes,35,Male,Married,Yes,Primary education completed,4,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,Poultry,,,,,,7,Rice,Dal/Pulses,Detergent powder,Bakery biscuits,Kerosene,Yes,5,,Another micro-merchant business,120000,100000,Access to finance,Poor physical infrastructure,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,80,30,Marketing,,,,,,Marketing,Finding and advise on equipment and technology,Lobbying and protection of interests,,,,"Yes, regularly",51-60%,Keep it at store,Deposit it in a bank account,Spend it immediately for personal expenses,Reinvest in Business,,,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Write it to my account book daily,Yes,Company distributor,5,Directly from the company/manufacturer,4,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Twice a  week,Once a week,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, frequently",11-20%,Yes,From a village Level savings Group,150000,,Yes,2,0,2,Yes,1,0,200,,Made/receive calls,Send/Receive SMS Text messages,,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 30 days,Over the counter at a bank branch,Make transactions myself,Someone I know has a bank account and they recommended I open one,,16,60,35,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not know how to make payment through mobile phone,Suppliers do not always have a mobile money account,,,,,,No,It is safer than cash money,It is possible to pay remote payments through this,,,,,,No,,,,,,,,,,,,,,,,Yes,Co-operative,,,,,,,Equal contributions,Husband major/ wife minor,Husband Sole responsibility,Husband Sole responsibility,Husband major/ wife minor,Husband major/ wife minor,Two,No,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,Yes
570,11,1,2018,114,Gopalganj,Rural,Md. Sirajul Islam,Shamim Ahsan,,,,Visit 1,7,Yes,50,Male,Married,Yes,Higher secondary education,5,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Flour,Edible oil,Egg,Soft drinks/ Beverage,Kerosene,Yes,30,,Another micro-merchant business,130000,100000,Access to finance,Energy connection,Poor physical infrastructure,,,Single proprietorship,Own,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,70,25,Marketing,Technical training (e.g. on the job training),Finding and advise on equipment and technology,,,,Marketing,Finding and advise on equipment and technology,,,,,Rarely,1-10%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Write it to my account book daily,Yes,Company distributor,5,Directly from the company/manufacturer,4,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,3 times a week,3 times a week,,Once a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,Yes,From a village Level savings Group,,400000,Yes,3,0,2,Yes,1,0,150,,Made/receive calls,Send/Receive SMS Text messages,,,,,,Do not use internet,,,,Phone runs out of battery,Ran out of balance (airtime) without using,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I wanted a safe place to store my money,,16,60,35,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suppliers do not always have a mobile money account,Suppliers do not  want to receive payments through mobile money account,,,,,,No,It is convenient,It is safer than cash money,,,,,,Yes,No,,,,,,,,Don't feel the necessity,,,,,,,Yes,Co-operative,,,,,,,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Husband Sole responsibility,Husband major/ wife minor,Husband Sole responsibility,One,Yes,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
571,11,1,2018,115,Gopalganj,Rural,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,4,Yes,45,Male,Married,Yes,Primary education completed,4,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Flour,Cigarette,Egg,Tea/Coffee,Betel-leaf,Yes,5,,Another micro-merchant business,130000,150000,Access to finance,,,,,Single proprietorship,Own,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,120,50,Finance,,,,,,Finance,,,,,,"Yes, sometimes",21-30%,Keep it at home/room,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,Agree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,Keep accounts for credit sale,No,Company distributor,3,,,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,3 times a week,,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,Yes,From a Micro-finance institution,,70000,Yes,2,0,2,Yes,1,0,50,,Made/receive calls,,,,,,,Do not use internet,,,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 30 days,Over the counter at a bank branch,Make transactions myself,I wanted to have access to credit or a credit card through a bank,,3,30,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,No trust on this service,Fear of hacking,,,,,No,It is safer than cash money,It is possible to pay remote payments through this,,,,,,Yes,No,,,,,,,,Don't have enough money to pay premium,Don't feel the necessity,,,,,,Yes,Micro-credit group,,,,,,,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,One,Yes,No,Three or more,Mud brick or C.I. sheet/wood,No,Two or more,Two or more,No,Yes
572,11,1,2018,115,Gopalganj,Rural,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,2,Yes,65,Male,Married,Yes,Secondary education not completed (class 6-9),5,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Rice,Flour,Edible oil,Salt,Sugar/ Molasses,Yes,25,,Another micro-merchant business,148000,140000,Access to finance,,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,60,40,Finance,,,,,,Finance,Marketing,,,,,"Yes, sometimes",1-10%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Strongly disagree,Agree somewhat,Keep accounts for credit sale,No,Company distributor,16,,,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,,,Once a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",1-10%,Yes,From a Micro-finance institution,,25000,Yes,2,0,3,Yes,1,0,10,,Made/receive calls,,,,,,,Do not use internet,,,,Phone not working properly (other than connectivity issues),Ran out of balance (airtime) without using,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I wanted a safe place to store my money,,2,10,10,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,Do not know,,,,,,,Yes,No,,,,,,,,Don't have enough money to pay premium,Don't feel the necessity,,,,,,Yes,Micro-credit group,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,One,No,No,Three or more,Brick/cement,Yes,Two or more,Two or more,No,No
573,11,1,2018,115,Gopalganj,Rural,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,9,Yes,48,Male,Married,Yes,Secondary education not completed (class 6-9),6,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,Poultry,,,,,,7,Rice,Flour,Edible oil,Kerosene,Sugar/ Molasses,Yes,20,,Another micro-merchant business,420000,400000,Access to finance,Poor physical infrastructure,,,,Single proprietorship,Khas land,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,200,150,Finance,Marketing,,,,,Finance,Marketing,,,,,"Yes, regularly",1-10%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Strongly disagree,Strongly agree,Keep accounts for credit sale,No,Company distributor,18,,,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,,,Everyday,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",1-10%,Yes,From a Micro-finance institution,,60000,Yes,2,1,3,Yes,1,0,300,,Made/receive calls,,,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I wanted to have access to credit or a credit card through a bank,,4,20,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not know how to make payment through mobile phone,,,,,,,No,It is safer than cash money,It is possible to pay remote payments through this,,,,,,No,,,,,,,,,,,,,,,,Yes,Micro-credit group,,,,,,,Husband Sole responsibility,Husband major/ wife minor,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Two,No,No,Three or more,Mud brick or C.I. sheet/wood,No,Two or more,Two or more,Yes,Yes
574,11,1,2018,115,Gopalganj,Rural,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,7,Yes,52,Male,Married,Yes,Primary education not completed (up to class 4),6,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Cigarette,Laundry soap,Bakery biscuits,Cake,Tea/Coffee,Yes,12,,Farmer,60000,70000,Access to finance,,,,,Single proprietorship,Own,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,35,25,Finance,Marketing,,,,,Finance,Marketing,,,,,"Yes, regularly",41-50%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Keep accounts for credit sale,No,Company distributor,2,,,,,Large store in nearby haat/ Large store in same/nearby area,2,,,,,Twice a  week,,,Twice a  week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",31-40%,No,,,,No,2,0,4,Yes,1,0,50,,Made/receive calls,,,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 90 days,Over the counter at a bank branch,Make transactions myself,I wanted a safe place to store my money,,3,30,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,Suppliers do not always have a mobile money account,Suppliers do not  want to receive payments through mobile money account,,,,,No,It is safer than cash money,Shorter lines/ customers have to wait less time,,,,,,Yes,No,,,,,,,,Don't know the benefits of insurance,Don't have enough money to pay premium,,,,,,No,,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband major/ wife minor,Two,Yes,No,Three or more,Mud brick or C.I. sheet/wood,No,Two or more,Two or more,No,Yes
575,11,1,2018,115,Gopalganj,Rural,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,1,Yes,60,Male,Married,Yes,Primary education not completed (up to class 4),5,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Rice,Flour,Edible oil,Kerosene,Salt,Yes,30,,Another micro-merchant business,85000,100000,Tax rates and state fees,Poor physical infrastructure,,,,Single proprietorship,Own,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,110,50,Finance,Marketing,,,,,Finance,Marketing,,,,,"Yes, sometimes",31-40%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Strongly disagree,Agree somewhat,Keep accounts for credit sale,No,Company distributor,15,,,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",11-20%,No,,,,No,1,0,4,Yes,1,0,100,,Made/receive calls,,,,,,,Do not use internet,,,,Do not face any problems,,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I wanted to start saving money with a bank account,,3,20,10,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No trust on this service,I do not trust system,,,,,,No,It is possible to pay remote payments through this,It helps the store's marketing or attracts more customers,,,,,,Yes,No,,,,,,,,Don't feel the necessity,,,,,,,No,,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Three or more,No,No,Two,Mud brick or C.I. sheet/wood,No,Two or more,One,No,Yes
